Trait,Chicken (farms),Environment (farms),Food Workers,Symptomatic humans,Retail meat (Chicken or pork),Non-food Workers,,Serovars
tet(M)_ISKpn26@IS5@IS5,0,0,7,3,2,0,,6
AAC(3)-Id_aadA7_sul1_IS26@IS6@nan_IS6100@IS6@nan,0,0,9,0,0,3,,1
AAC(3)-Id_aadA7_sul1_IS6100@IS6@nan,0,0,8,0,0,0,,1
AAC(3)-IVa_APH(3'')-Ib_APH(4)-Ia_APH(6)-Id_sul2_ISAba1@IS4@IS10_ISEc59@IS6@nan,0,0,1,0,0,0,,1
AAC(6')-Ib-cr6_aadA16_arr-3_dfrA27_sul1_IS6100@IS6@nan,0,0,9,0,0,1,,1
AAC(6')-Ib-cr6_OXA-1_armA_arr-3_catB3_mphE_msrE_sul1_ISEc28@IS5@IS903_ISEc29@IS4@IS10,0,1,0,0,1,0,,1
AAC(6')-Ib-cr6_OXA-1_arr-3_catB3_sul1_IS6100@IS6@nan,0,0,0,1,0,0,,1
AAC(6')-Ib-cr6_QnrB17_aadA16_arr-3_dfrA27_mphA_sul1_IS6100@IS6@nan,0,0,0,4,0,0,,1
AAC(6')-Ib-cr6_QnrB17_aadA16_arr-3_dfrA27_sul1_IS6100@IS6@nan,15,0,13,0,1,0,,3
AAC(6')-Ib10_aadA16_arr-3_dfrA27_floR_sul1_tet(A)_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
AAC(6')-Ib10_aadA16_arr-3_dfrA27_mphA_sul1_IS6100@IS6@nan,0,0,19,0,0,1,,3
AAC(6')-Ib10_aadA16_arr-3_dfrA27_sul1_IS6100@IS6@nan,0,0,7,0,1,0,,6
AAC(6')-Ib10_aadA16_arr-3_dfrA27_sul1_tet(A)_IS26@IS6@nan,0,0,1,0,0,0,,1
AAC(6')-Ib10_OXA-1_arr-3_catB3_sul1_IS6100@IS6@nan,0,0,2,0,0,0,,2
AAC(6')-Ib10_OXA-1_QnrA1_arr-3_catB3_sul1_IS6100@IS6@nan,0,0,7,0,0,1,,3
AAC(6')-Ib10_OXA-1_QnrA1_arr-3_catB3_sul1_ISAs29@IS21@nan,0,0,1,0,0,0,,1
AAC(6')-Ib10_QnrB17_aadA16_arr-3_dfrA27_floR_sul1_tet(A)_IS26@IS6@nan_IS6100@IS6@nan_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
AAC(6')-Ib10_QnrB17_aadA16_arr-3_dfrA27_floR_sul1_tet(A)_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
AAC(6')-Ib10_QnrB17_aadA16_arr-3_dfrA27_mphA_sul1_IS1R@IS1@nan_IS6100@IS6@nan,0,0,1,0,0,0,,1
AAC(6')-Ib10_QnrB17_aadA16_arr-3_dfrA27_mphA_sul1_IS6100@IS6@nan,0,0,78,0,0,5,,9
AAC(6')-Ib10_QnrB17_aadA16_arr-3_dfrA27_sul1_IS6100@IS6@nan,0,0,9,0,3,1,,6
AAC(6')-Ib10_QnrB17_arr-3_dfrA27_mphA_sul1_IS6100@IS6@nan,0,0,1,0,0,0,,1
