,AMC,SAM,TZP,CFZ,FEP,FOX,CAZ,CRO,CXM,ETP,IPM,MEM,CHL,FOS,AMK,GEN,TOB,CIP,LVX,NIT,MIN,TET,SXT,CTX,CZA,AZM,AMP,MXF,NOR,NAL,STR,AZI,XNL,SUL,DOX,KAN,COL
2019-0106,I,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0109,S,I,R,I,I,S,R,I,R,S,R,S,R,R,S,S,R,S,S,R,I,R,R,,,R,,S,S,,,,,,,,I
2019-0110,S,I,R,R,I,S,R,I,R,S,R,S,R,R,S,S,R,S,S,R,R,R,R,,,R,,S,S,,,,,,,,I
2019-0112,S,I,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0114,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,S,,S,S,,,,,,,,I
2019-0125,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0127,S,S,S,S,S,S,S,S,I,S,S,S,R,S,S,R,R,R,R,S,S,S,S,,,S,,R,R,,,,,,,,I
2019-0128,S,I,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,S,R,S,,,S,,S,S,,,,,,,,I
2019-0129,S,I,S,R,S,S,S,S,I,S,S,S,R,S,S,S,I,R,R,R,S,R,R,,,S,,R,S,,,,,,,,I
2019-0132,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0133,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0134,S,R,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0135,S,R,S,R,R,S,R,R,R,S,S,S,I,S,S,R,I,R,R,S,I,R,S,,,R,,R,R,,,,,,,,I
2019-0136,S,I,S,R,I,S,I,R,R,S,S,S,R,S,S,R,I,R,R,S,S,R,S,,,R,,R,R,,,,,,,,I
2019-0139,S,S,S,R,R,S,S,R,R,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0141,S,I,S,I,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0142,S,I,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0144,S,I,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0146,S,I,S,I,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0147,S,I,S,I,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0149,S,I,S,R,I,S,S,R,R,S,S,S,R,S,S,R,I,R,S,R,R,R,R,,,S,,R,I,,,,,,,,R
2019-0151,S,S,R,I,I,S,R,I,R,S,R,S,R,S,S,I,R,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0153,S,I,S,S,S,S,S,S,I,S,S,S,R,S,S,R,R,R,S,R,S,R,R,,,S,,R,I,,,,,,,,I
2019-0154,S,S,R,I,I,S,R,I,R,S,R,S,R,S,I,R,R,R,R,S,R,R,S,,,R,,R,I,,,,,,,,I
2019-0155,S,I,R,R,I,S,R,R,R,S,R,S,R,S,I,R,R,R,R,S,R,R,R,,,R,,R,R,,,,,,,,I
2019-0158,S,I,S,R,R,S,S,R,R,S,S,S,S,S,S,R,I,R,S,S,I,R,S,,,I,,R,S,,,,,,,,I
2019-0159,S,R,R,I,S,S,I,S,R,S,I,S,R,R,S,S,I,S,S,R,S,R,R,,,R,,S,S,,,,,,,,I
2019-0161,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0163,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,S,R,S,,,S,,S,S,,,,,,,,I
2019-0166,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,S,,S,S,,,,,,,,I
2019-0167,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0174,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0175,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0176,S,I,S,I,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,I,S,R,R,,,S,,R,S,,,,,,,,I
2019-0178,S,R,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0179,S,R,S,R,I,S,R,R,R,S,S,S,R,R,R,R,R,R,R,R,I,R,R,,,R,,R,R,,,,,,,,R
2019-0181,R,R,R,R,S,R,S,S,R,S,I,S,R,S,S,S,I,R,R,S,R,R,R,,,S,,R,I,,,,,,,,I
2019-0182,S,I,S,I,S,S,S,S,R,S,S,S,R,S,S,S,I,R,S,R,S,R,R,,,S,,R,S,,,,,,,,I
2019-0183,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0184,S,I,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0185,S,R,I,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,R,S,R,R,,,S,,R,I,,,,,,,,I
2019-0187,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,S,,S,S,,,,,,,,I
2019-0188,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,R,I,R,S,S,I,R,R,,,R,,R,S,,,,,,,,I
2019-0189,S,I,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0190,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0191,S,R,S,R,R,S,I,R,R,S,S,S,R,S,S,R,I,R,R,R,S,R,R,,,R,,R,R,,,,,,,,R
2019-0192,S,R,S,S,S,S,S,S,R,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0194,S,I,I,S,S,S,S,S,I,S,S,S,R,S,S,R,R,S,S,R,S,R,R,,,S,,S,S,,,,,,,,I
2019-0197,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0200,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,I,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0202,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,R,I,S,S,S,I,R,R,,,R,,R,S,,,,,,,,I
2019-0207,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0208,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0210,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0216,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0219,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0220,S,R,S,R,I,I,S,R,R,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0221,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,R,I,R,R,,,S,,R,I,,,,,,,,I
2019-0224,S,R,S,R,R,I,R,R,R,S,S,S,R,S,S,R,I,R,R,S,I,R,R,,,R,,R,S,,,,,,,,I
2019-0229,S,R,S,R,R,S,I,R,R,S,S,S,R,R,S,R,R,R,R,R,S,R,R,,,R,,R,R,,,,,,,,I
2019-0230,S,I,S,S,S,S,S,S,I,S,S,S,R,S,S,R,R,R,S,I,R,R,R,,,S,,R,I,,,,,,,,I
2019-0232,I,R,S,R,S,I,S,S,R,S,S,S,R,S,S,S,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0237,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,R,S,R,S,,,S,,R,S,,,,,,,,I
2019-0239,S,R,S,I,I,S,S,R,R,S,S,S,R,S,S,S,R,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0240,S,S,S,R,S,I,S,S,R,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0244,R,R,S,R,R,R,R,R,R,S,S,S,R,S,S,S,R,S,S,S,R,R,R,,,R,,S,S,,,,,,,,I
2019-0247,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,R,R,S,I,R,S,,,S,,R,R,,,,,,,,I
2019-0252,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,R,R,I,S,R,R,,,S,,R,S,,,,,,,,I
2019-0254,I,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,R,R,I,I,R,R,,,S,,R,S,,,,,,,,I
2019-0258,I,R,I,R,R,I,R,R,R,S,S,S,R,S,S,S,S,R,R,S,R,R,R,,,R,,R,R,,,,,,,,I
2019-0260,S,R,S,S,S,S,S,S,I,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0263,I,R,S,S,S,S,S,S,I,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0264,S,R,S,I,S,S,S,S,I,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0265,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,R,R,S,R,R,S,,,S,,R,R,,,,,,,,I
2019-0266,S,I,S,R,I,S,R,R,R,S,S,S,R,S,S,R,R,R,R,S,I,R,R,,,R,,R,R,,,,,,,,I
2019-0267,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,R,S,R,R,R,,,S,,R,S,,,,,,,,I
2019-0268,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0270,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0279,R,R,R,R,R,R,R,R,R,S,S,S,R,R,S,S,S,R,R,S,S,R,R,,,R,,R,R,,,,,,,,I
2019-0280,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0283,I,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0289,S,R,S,R,I,S,S,R,R,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0290,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,S,,S,S,,,,,,,,I
2019-0291,S,I,S,I,S,S,S,S,I,S,S,S,R,S,S,S,S,R,R,I,S,R,S,,,S,,R,S,,,,,,,,I
2019-0296,S,I,S,R,R,S,R,R,R,S,S,S,R,S,S,R,I,R,R,S,I,R,R,,,R,,R,S,,,,,,,,I
2019-0301,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0306,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,R,I,R,R,R,S,R,S,,,R,,R,R,,,,,,,,I
2019-0307,R,R,S,R,S,R,R,R,R,S,S,S,R,S,S,S,S,R,S,S,S,R,R,,,I,,S,R,,,,,,,,I
2019-0311,S,S,S,I,S,I,S,S,R,S,S,S,R,S,S,S,S,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0316,S,I,S,S,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,R,I,R,R,,,S,,S,S,,,,,,,,R
2019-0320,S,S,S,S,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,R,S,S,S,,,S,,S,S,,,,,,,,R
2019-0321,S,S,S,S,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,R,I,R,S,,,S,,S,S,,,,,,,,R
2019-0325,S,R,S,R,R,S,I,R,R,S,S,S,R,S,S,R,I,R,R,S,S,R,S,,,R,,R,R,,,,,,,,I
2019-0326,S,I,S,R,R,S,R,R,R,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,R,,S,S,,,,,,,,I
2019-0327,S,I,S,S,S,S,S,S,R,S,S,S,R,S,S,R,R,R,R,I,S,S,R,,,S,,R,R,,,,,,,,I
2019-0328,S,S,S,S,R,S,S,R,R,S,S,S,R,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,I
2019-0329,S,S,S,S,S,I,S,S,R,S,S,S,R,S,S,S,S,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0333,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0341,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,R,I,R,R,S,S,R,S,,,R,,R,R,,,,,,,,I
2019-0342,S,S,S,S,R,S,S,R,R,S,S,S,R,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,I
2019-0344,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0346,I,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0348,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,R,S,R,R,,,S,,R,I,,,,,,,,I
2019-0353,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0354,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0356,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0358,S,R,S,R,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0363,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0364,S,R,S,I,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,I,R,R,S,,,S,,S,S,,,,,,,,I
2019-0365,S,R,S,R,S,I,S,S,R,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0368,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0372,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0374,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0375,S,R,S,R,S,I,S,S,I,S,S,S,R,S,S,S,S,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0377,S,S,S,R,S,I,S,S,I,S,S,S,R,S,S,S,S,S,S,S,R,R,S,,,S,,S,S,,,,,,,,I
2019-0381,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0383,S,I,S,R,I,S,R,R,R,S,S,S,R,S,R,R,R,R,R,S,I,R,S,,,R,,R,R,,,,,,,,I
2019-0386,S,S,S,R,S,I,S,S,I,S,S,S,R,S,S,S,S,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0387,S,R,I,R,R,S,R,R,R,S,S,S,R,R,R,R,R,R,R,R,I,R,R,,,R,,R,R,,,,,,,,I
2019-0396,I,R,S,R,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,I,S,S,S,,,S,,S,S,,,,,,,,I
2019-0398,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,R,S,S,R,S,,,S,,R,R,,,,,,,,I
2019-0410,R,R,S,S,S,S,S,I,S,S,S,S,R,S,S,S,S,S,S,R,R,S,S,,,S,,S,S,,,,,,,,I
2019-0412,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,R,R,R,R,,,S,,S,I,,,,,,,,I
2019-0421,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0425,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0430,S,I,S,R,R,S,I,R,R,S,S,S,R,S,S,R,S,R,R,S,S,R,S,,,R,,R,R,,,,,,,,I
2019-0440,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0441,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0445,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0447,S,I,S,R,R,S,R,R,R,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0451,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,S,,S,S,,,,,,,,I
2019-0459,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,R,S,R,S,,,S,,S,I,,,,,,,,I
2019-0461,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0466,S,I,S,I,S,S,S,S,I,S,S,S,R,S,S,R,R,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0471,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,S,R,S,,,S,,S,S,,,,,,,,I
2019-0475,I,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0481,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0482,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0483,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0485,S,S,S,I,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,I,R,R,R,,,S,,S,S,,,,,,,,I
2019-0496,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,R,S,S,S,R,S,,,S,,S,S,,,,,,,,I
2019-0497,S,R,S,I,S,S,S,S,I,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0503,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0508,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0519,S,I,S,R,R,S,R,R,R,S,S,S,S,S,S,S,I,S,S,S,I,R,S,,,R,,S,S,,,,,,,,I
2019-0529,S,I,S,R,R,S,R,R,R,S,S,S,R,S,S,S,I,S,S,S,S,R,S,,,R,,S,S,,,,,,,,I
2019-0533,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0534,S,I,S,R,R,S,R,R,R,S,S,S,R,S,S,R,R,R,R,S,I,R,R,,,R,,R,R,,,,,,,,I
2019-0535,S,I,S,R,I,S,R,R,R,S,S,S,R,S,S,R,R,S,S,S,S,R,S,,,R,,R,S,,,,,,,,I
2019-0536,S,S,S,S,S,S,S,R,I,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,R,,S,S,,,,,,,,I
2019-0541,S,I,S,R,I,S,R,R,R,S,S,S,R,S,R,R,R,R,R,S,I,R,R,,,R,,R,R,,,,,,,,I
2019-0547,S,I,S,I,S,S,S,S,I,S,S,S,R,S,S,S,S,R,R,S,I,R,R,,,S,,R,R,,,,,,,,I
2019-0548,S,I,S,R,R,S,R,R,R,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0549,R,R,S,R,S,R,R,R,R,S,S,S,R,S,S,S,S,R,R,S,I,R,R,,,R,,R,R,,,,,,,,I
2019-0554,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,S,,S,S,,,,,,,,I
2019-0558,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0567,S,I,S,I,S,S,S,S,I,S,S,S,R,S,S,R,R,R,R,S,I,R,R,,,S,,R,R,,,,,,,,I
2019-0569,I,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0573,S,R,I,R,R,S,S,R,R,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0581,S,I,S,R,R,I,R,R,R,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0588,S,I,S,I,S,S,S,S,S,S,S,S,R,R,S,S,R,S,S,S,I,R,R,,,I,,S,S,,,,,,,,I
2019-0591,S,R,S,R,S,I,S,S,I,S,S,S,R,S,S,S,S,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0593,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0594,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,S,S,R,R,S,I,R,S,,,R,,R,R,,,,,,,,I
2019-0595,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,R,R,R,R,S,S,R,S,,,R,,R,R,,,,,,,,I
2019-0601,R,R,S,R,S,R,R,S,R,S,S,S,R,R,S,S,R,R,R,I,S,S,S,,,S,,R,R,,,,,,,,I
2019-0607,R,R,I,S,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S,R,S,,,I,,S,S,,,,,,,,I
2019-0608,S,R,S,I,S,S,S,S,S,S,S,S,R,R,S,S,S,R,R,S,S,R,R,,,I,,R,S,,,,,,,,I
2019-0615,S,S,S,S,S,S,S,S,S,S,S,S,R,R,S,R,R,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0619,S,R,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0621,S,I,S,R,R,S,R,R,R,S,S,S,R,R,S,R,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0622,S,R,S,I,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,S,I,R,S,,,R,,S,S,,,,,,,,I
2019-0623,S,S,S,S,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S,R,S,,,R,,S,S,,,,,,,,I
2019-0624,S,S,S,S,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S,R,S,,,R,,S,S,,,,,,,,I
2019-0625,S,R,S,I,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0626,S,R,S,I,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2019-0631,S,S,S,S,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S,R,S,,,R,,S,S,,,,,,,,I
2019-0632,S,R,S,R,S,S,S,S,S,S,S,S,R,R,S,S,S,R,R,S,S,R,R,,,R,,R,S,,,,,,,,I
2019-0639,R,R,S,R,S,R,R,R,R,S,S,S,R,S,S,S,S,R,R,S,I,R,R,,,R,,R,R,,,,,,,,I
2019-0643,S,I,S,R,R,S,R,R,R,S,S,S,R,S,S,S,R,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2019-0645,R,R,S,R,S,R,R,R,R,S,S,S,R,S,S,S,S,R,R,S,I,R,R,,,I,,R,R,,,,,,,,I
2019-0646,R,R,S,R,S,I,R,R,R,S,S,S,R,S,S,S,S,R,R,S,I,R,R,,,R,,R,R,,,,,,,,I
2019-0651,S,I,S,R,R,S,R,R,R,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,R,,S,S,,,,,,,,I
2019-0652,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,R,,S,S,,,,,,,,I
2019-0653,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0660,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0670,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0671,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0672,S,R,S,R,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2019-0676,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0677,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,I,R,R,,,S,,S,I,,,,,,,,I
2019-0683,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0685,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0694,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2019-0695,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0696,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2019-0698,S,R,S,R,S,S,S,S,I,S,S,S,R,S,S,R,R,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
