,AMC,SAM,TZP,CFZ,FEP,FOX,CAZ,CRO,CXM,ETP,IPM,MEM,CHL,FOS,AMK,GEN,TOB,CIP,LVX,NIT,MIN,TET,SXT,CTX,CZA,AZM,AMP,MXF,NOR,NAL,STR,AZI,XNL,SUL,DOX,KAN,COL
2015-0057,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,I,R,R,,,S,,S,I,,,,,,,,I
2015-0069,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,I,,,,,,,,I
2015-0070,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0072,S,I,S,S,S,S,S,S,I,S,S,S,R,S,S,R,R,R,R,I,I,R,R,,,S,,I,R,,,,,,,,I
2015-0075,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,S,S,R,R,,,S,,R,S,,,,,,,,I
2015-0079,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0081,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,I,R,R,,,S,,S,R,,,,,,,,I
2015-0082,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0085,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0088,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,S,I,R,R,,,S,,S,I,,,,,,,,I
2015-0091,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0094,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,R
2015-0096,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0104,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,S,,,,,,,,I
